,Bernie_Counts,Biden_Counts,Kamala_Counts,Warren_Counts,Total_by_word
unrealistic,2,0,1,2,5
billed,2,2,0,0,4
nevertheless,2,1,0,0,3
lowest,2,2,0,4,8
premise,2,2,1,0,5
implausible,2,1,0,0,3
affluent,2,1,0,0,3
lifestyle,2,0,0,1,3
feisty,2,1,0,1,4
forest,2,0,0,0,2
restored,2,2,0,0,4
vintage,2,0,0,0,2
tricky,2,0,0,1,3
stark,1,11,0,7,19
undeniable,1,1,1,0,3
influenced,1,15,3,0,19
lackluster,1,9,0,0,10
elevate,1,5,2,2,10
diplomatic,1,34,0,1,36
secure,1,18,3,3,25
score,1,16,0,4,21
available,1,21,0,2,24
giant,1,10,3,22,36
sic,1,33,8,13,55
tighter,1,3,1,3,8
everyday,1,4,0,2,7
touch,1,12,4,5,22
definitive,1,3,0,0,4
interrupted,1,8,1,5,15
mistake,1,19,2,6,28
grand,1,6,2,1,10
friendship,1,4,0,1,6
perfect,1,11,1,6,19
brutal,1,2,2,3,8
enjoy,1,3,2,3,9
flat,1,8,1,1,11
dark,1,8,3,1,13
noticeable,1,1,1,1,4
emotional,1,5,3,0,9
sensitive,1,13,1,2,17
eastern,1,19,0,3,23
observed,1,6,1,1,9
write,1,14,0,10,25
interpreted,1,9,2,0,12
worst,1,9,0,8,18
betrayal,1,4,0,2,7
overcome,1,3,1,7,12
unprecedented,1,26,0,1,28
granted,1,4,0,3,8
weekly,1,3,0,0,4
iconic,1,1,0,1,3
virtual,1,8,1,2,12
vicious,1,3,1,0,5
comparable,1,1,0,0,2
loved,1,3,3,3,10
sacrifice,1,4,1,0,6
unnamed,1,7,1,0,9
repugnant,1,1,0,0,2
andy,1,13,1,7,22
underdog,1,1,0,1,3
matched,1,2,2,4,9
aforementioned,1,3,0,1,5
gay,1,4,3,6,14
widespread,1,10,9,0,20
touched,1,11,0,0,12
vulnerable,1,9,1,6,17
accurate,1,7,1,4,13
precious,1,1,0,2,4
astonishing,1,4,0,0,5
fat,1,1,0,0,2
hammer,1,7,0,0,8
captured,1,3,1,5,10
intent,1,9,1,0,11
unhappy,1,4,0,0,5
touching,1,1,0,2,4
vivid,1,4,0,0,5
sincere,1,0,0,1,2
disappointed,1,7,1,4,13
tear,1,2,0,0,3
pray,1,0,0,0,1
vibrant,1,0,1,0,2
blitz,1,3,3,0,7
pleasure,1,2,0,0,3
seventh,1,1,3,0,5
fearless,1,0,2,0,3
engagement,1,2,1,0,4
flesh,1,0,0,1,2
synonymous,1,0,0,0,1
conscious,1,1,0,1,3
downhill,1,0,0,0,1
immigrant,1,2,4,3,10
youtube,1,0,0,0,1
essential,1,5,0,4,10
lake,1,4,0,2,7
eradicate,1,0,0,0,1
ruthless,1,0,0,1,2
accomplished,1,2,0,1,4
inspiring,1,1,2,0,4
remake,1,1,0,1,3
courageous,1,1,1,0,3
abhorrent,1,2,0,1,4
depend,1,3,0,1,5
derogatory,1,2,0,0,3
dystopian,1,0,0,0,1
powerless,1,0,0,0,1
happiness,1,0,0,0,1
props,1,0,0,0,1
bus,1,7,4,4,16
beloved,1,1,0,1,3
united,1,4,0,3,8
contempt,1,0,0,1,2
born,1,7,4,6,18
spark,1,2,0,3,6
cultural,1,0,2,6,9
academic,1,2,0,11,14
eaten,1,8,3,5,17
sorry,1,6,0,5,12
grateful,1,0,2,9,12
explicit,1,29,2,2,34
tony,1,1,0,1,3
reminiscent,1,2,0,2,5
temporary,1,3,0,3,7
clash,1,4,0,5,10
discovered,1,1,0,1,3
saved,1,1,0,1,3
tangible,1,2,0,3,6
dismal,1,0,0,1,2
cheap,1,2,0,2,5
bent,1,6,0,3,10
childhood,1,0,2,1,4
organize,1,2,2,1,6
joke,1,3,5,6,15
ingenuous,1,1,2,1,5
relate,1,2,2,0,5
shoot,1,2,4,1,8
hoot,1,2,4,1,8
skip,1,0,4,0,5
paused,1,3,0,2,6
raucous,1,4,0,2,7
warm,1,7,0,3,11
truths,1,1,0,1,3
recommend,1,8,1,0,10
someday,1,3,0,0,4
remarkable,1,3,0,2,6
tight,1,2,0,4,7
defiant,1,5,0,0,6
bare,1,2,0,2,5
wider,1,4,1,3,9
humane,1,0,1,0,2
revamped,1,0,0,0,1
lengths,1,1,0,0,2
singing,1,0,0,0,1
failure,1,10,0,7,18
rapid,1,4,0,1,6
universe,1,3,0,4,8
junior,1,2,4,1,8
empty,1,0,2,0,3
compassionate,1,1,1,0,3
smile,1,1,0,2,4
explore,1,1,0,1,3
tepid,1,3,0,0,4
characterized,1,7,1,1,10
bother,1,2,0,3,6
appreciated,1,2,2,1,6
cryptic,1,0,0,0,1
destruction,1,0,0,0,1
dread,1,0,0,1,2
grim,1,0,0,0,1
innumerable,1,0,0,0,1
unforgivable,1,0,0,0,1
midwest,1,1,0,1,3
bike,1,1,0,0,2
arrival,1,0,0,0,1
starving,1,0,0,0,1
vulgar,1,0,0,0,1
lovable,1,0,0,0,1
dump,1,1,0,0,2
refreshing,1,0,0,0,1
neglect,1,0,0,1,2
web,1,0,0,2,3
bash,1,1,0,1,3
charismatic,1,0,0,1,2
chronic,1,1,1,0,3
spy,1,0,1,0,2
delicate,1,7,0,1,9
authentic,1,1,0,0,2
harrowing,1,1,0,0,2
incapable,1,1,0,0,2
magic,1,1,0,0,2
uncommon,1,1,0,0,2
nascent,1,1,0,1,3
distinctive,1,0,0,1,2
waitress,1,0,0,3,4
literal,1,0,0,0,1
palpable,1,0,0,1,2
install,1,0,0,0,1
casual,1,0,0,0,1
frantic,1,0,0,0,1
needle,1,1,0,0,2
minor,1,3,0,1,5
sniper,1,0,0,1,2
psychological,1,0,1,1,3
lieutenant,1,2,0,0,3
irascible,1,0,0,0,1
advertised,1,1,0,0,2
dysfunctional,1,2,0,0,3
optimistic,1,2,0,1,4
cleaner,1,1,0,0,2
dealt,1,1,0,1,3
lonely,1,1,0,2,4
automatic,1,1,0,0,2
caricature,1,0,0,0,1
prophet,1,0,0,0,1
spoof,1,0,0,0,1
glimpse,1,0,0,0,1
slack,1,0,0,0,1
adapted,1,0,0,0,1
fantasy,1,0,0,0,1
celebratory,1,0,0,0,1
gamut,1,0,0,0,1
psychologist,1,0,0,0,1
adjust,1,0,0,1,2
underline,1,0,0,0,1
beauty,1,0,1,0,2
inimitable,1,0,0,0,1
studied,1,0,0,2,3
respectful,1,0,0,1,2
visceral,1,0,0,0,1
purse,1,0,0,1,2
instant,1,0,0,0,1
fulfillment,1,0,0,0,1
sloppy,1,0,0,1,2
uncompromising,1,0,0,1,2
runaway,1,0,0,0,1
sabotage,0,6,1,1,8
awful,0,25,1,0,26
float,0,2,0,0,2
horrible,0,38,1,0,39
picnic,0,2,0,0,2
tragedy,0,10,0,0,10
eyed,0,15,2,5,22
realizes,0,1,0,0,1
father,0,128,1,7,136
sweet,0,5,0,0,5
teeth,0,3,0,0,3
propaganda,0,5,0,0,5
hilarious,0,1,0,0,1
ethical,0,22,0,1,23
context,0,24,1,2,27
troubled,0,13,0,1,14
supposedly,0,19,0,4,23
pivotal,0,2,1,2,5
green,0,4,1,6,11
gratuitous,0,1,0,0,1
pit,0,2,1,1,4
discern,0,3,0,0,3
demonic,0,1,0,0,1
innocent,0,5,8,0,13
insult,0,3,3,1,7
biography,0,3,0,6,9
lighthearted,0,1,0,0,1
comedic,0,1,0,0,1
eldest,0,2,1,0,3
lacked,0,4,1,4,9
sends,0,6,1,1,8
tempting,0,34,5,4,43
scant,0,7,0,0,7
norm,0,3,0,0,3
urban,0,10,3,7,20
suburban,0,3,0,6,9
southern,0,5,3,4,12
friendly,0,11,0,8,19
