"","Bernie_Counts","Biden_Counts","Kamala_Counts","Warren_Counts"
"upcoming",9,10,4,6
"small",35,44,11,50
"trust",26,39,4,24
"strict",24,38,25,32
"stronger",5,14,3,12
"noticeable",1,1,1,2
"dear",2,2,0,0
"scare",19,8,5,7
"modern",11,8,1,5
"oldest",18,6,3,7
"legitimate",2,37,0,1
"automatic",2,8,1,1
"notable",2,14,4,2
"emotional",1,7,4,0
"fabric",4,19,1,1
"congratulate",0,9,2,0
"terrorist",3,8,0,2
"justice",24,53,53,23
"mess",48,158,11,38
"sensitive",2,13,1,2
"award",2,7,23,6
"write",17,63,3,39
"dream",6,8,0,29
"problematic",3,13,1,4
"operate",4,30,4,3
"icon",6,7,2,19
"works",4,47,5,13
"counterpart",2,91,2,1
"deter",10,41,6,17
"email",21,66,8,20
"spark",9,37,6,7
"swift",3,11,1,3
"handsome",0,16,1,0
"eastern",1,36,0,3
"applied",0,32,0,2
"dishonest",0,19,0,12
"contacted",0,10,0,1
"observed",2,9,2,1
"cry",2,26,1,9
"spare",6,40,1,11
"outfit",0,3,0,0
"faced",23,90,7,42
"excellent",6,4,0,2
"boss",1,16,2,4
"sponsor",19,16,15,12
"removed",4,57,8,3
"helps",6,7,0,7
"web",14,13,2,18
"sacred",0,4,0,0
"document",10,126,7,19
"looks",13,34,4,14
"interpreted",1,9,2,0
"damn",19,18,1,3
"worst",1,11,0,9
"transparent",4,12,0,7
"supporting",11,24,3,14
"inspired",3,4,1,4
"betrayal",1,5,1,3
"prominent",15,24,2,6
"faith",2,8,7,14
"instrumental",0,4,0,0
"instrument",0,6,0,0
"overcome",1,3,1,7
"broader",9,18,2,12
"unprecedented",1,30,0,1
"utilized",0,2,0,1
"appropriate",16,142,4,17
"survive",0,10,0,0
"bother",4,9,0,5
"frankly",2,8,6,3
"mainstream",7,14,1,9
"dialog",1,3,0,0
"credibility",0,40,0,3
"nose",10,8,1,5
"neat",0,8,0,4
"okay",0,19,1,0
"hid",49,31,2,8
"patient",11,4,4,0
"seamy",0,1,0,0
"granted",1,5,1,3
"businessman",5,22,9,4
